20190902,hz,上城区,南星,https://www.danke.com/room/496401796.html,南星  木材新村 2室1厅,建筑面积约57㎡|7楼|2室1卫|朝南,4024,https://public.danke.com.cn/public-20190513-FpX1JlLd4cp44-llNx0qJz76FOGX?imageView2/1/w/380/h/285,2019-09-02 22:15:39,
20190902,hz,上城区,南星,https://www.danke.com/room/620096766.html,南星  凤凰南苑 3室1厅,建筑面积约8㎡|6楼|3室1卫|朝北,1677,https://public.danke.com.cn/public-20180906-FodQ6iuFAPrsVgfYxS3iUCj-JYPj?imageView2/1/w/380/h/285,2019-09-02 22:15:39,
20190902,hz,上城区,南星,https://www.danke.com/duanzu/1584601677.html,南星  秋江雅院 3室1厅,建筑面积约12㎡|25楼|3室2卫|朝南,2660,https://public.danke.com.cn/public-20190518-FjyoU-ZMPh9BJXDNGR17-nmRNbpf?imageView2/1/w/380/h/285,2019-09-02 22:15:40,
20190902,hz,上城区,南星,https://www.danke.com/room/1804645281.html,南星  木材新村 1室1厅,建筑面积约59㎡|5楼|1室1卫|朝南,4207,//pangu-s1.danke.com.cn/build/img/room/no-picture-e63a495fc7.jpg??imageView2/1/w/380/h/285,2019-09-02 22:15:41,
20190902,hz,上城区,南星,https://www.danke.com/room/506219849.html,南星桥  复兴路27号 3室1厅,建筑面积约19㎡|4楼|3室1卫|朝西,2330,https://public.danke.com.cn/public-20190124-isz_Foj7UUkhYwhyozpSRfegRbbtHH8k?imageView2/1/w/380/h/285,2019-09-02 22:15:41,
20190902,hz,上城区,南星,https://www.danke.com/room/1932248799.html,南星  凤凰南苑 3室1厅,建筑面积约18㎡|27楼|3室1卫|朝南,2520,https://public.danke.com.cn/public-20180803-Fo_-cBF_v3V88Nvi8S5HgRuDiLRI?imageView2/1/w/380/h/285,2019-09-02 22:15:42,
20190902,hz,上城区,南星,https://www.danke.com/room/1045759083.html,南星  凤凰北苑 3室1厅,建筑面积约6㎡|1楼|3室1卫|朝西,1790,https://public.danke.com.cn/public-20180728-FvUl0CgIVit7mQ17pIM_f6DplmL8?imageView2/1/w/380/h/285,2019-09-02 22:15:43,
20190902,hz,上城区,南星,https://www.danke.com/duanzu/1460075246.html,南星  秋江雅院 3室1厅,建筑面积约15㎡|25楼|3室2卫|朝北,2660,https://public.danke.com.cn/public-20190711-Fj80w2aIJn3HQPvv1ax_xPVPuEte?imageView2/1/w/380/h/285,2019-09-02 22:15:43,
20190902,hz,上城区,南星,https://www.danke.com/room/2073617982.html,南星  凤凰南苑 3室1厅,建筑面积约8㎡|27楼|3室1卫|朝南,2130,https://public.danke.com.cn/public-20180803-FkVLAdWsP95ewzqvOJIHiZLTN9hO?imageView2/1/w/380/h/285,2019-09-02 22:15:44,
20190902,hz,上城区,南星,https://www.danke.com/room/1616201725.html,南星  凤凰南苑 3室1厅,建筑面积约11㎡|1楼|3室1卫|朝南,2120,https://public.danke.com.cn/public-20181126-FqkZ2mvObPlWAY0ueFHLsmwJrjaS?imageView2/1/w/380/h/285,2019-09-02 22:15:45,
